timestamp,air_temp_C,rh_percent,par_umol_m2_s,vpd_kPa
2025-09-01 00:00:00,21.603959204436638,72.31193438543899,200.0,0.715
2025-09-01 01:00:00,22.031343925250354,67.79002637652484,408.2663765615606,0.853
2025-09-01 02:00:00,22.211529898022782,65.57649719313262,602.1702452013574,0.922
2025-09-01 03:00:00,23.720956253330815,68.8073592978132,768.3395681695688,0.915
2025-09-01 04:00:00,22.881424755077653,71.98443376672044,895.3149430562257,0.781
2025-09-01 05:00:00,23.005064509797784,72.91247490995235,974.3398684145408,0.761
2025-09-01 06:00:00,23.50231128829574,61.99312784248372,999.964611382137,1.101
2025-09-01 07:00:00,24.311824386056568,62.19946198786204,970.422033259329,1.149
2025-09-01 08:00:00,23.84324325474809,66.26435415321842,887.7494552850192,0.997
2025-09-01 09:00:00,24.671115062565818,62.89530974656424,757.6481604779657,1.153
2025-09-01 10:00:00,23.951589905537535,63.63012110592646,589.0902206058149,1.082
2025-09-01 11:00:00,25.171717317666968,62.058816249178115,393.6997623598688,1.214
2025-09-01 12:00:00,24.376614468995612,61.20030365291857,184.95134198259908,1.184
2025-09-01 13:00:00,25.617989150152304,60.633419526469666,0.0,1.294
2025-09-01 14:00:00,24.19426996756973,63.8926095037484,0.0,1.09
2025-09-01 15:00:00,24.930667880034886,52.58468494362282,0.0,1.496
2025-09-01 16:00:00,24.511473989030854,56.85934358759192,0.0,1.327
2025-09-01 17:00:00,24.39402723372994,53.92531670163466,0.0,1.408
2025-09-01 18:00:00,24.549325541159266,54.59244062553968,0.0,1.4
2025-09-01 19:00:00,25.37549516240935,61.1616759788642,0.0,1.258
2025-09-01 20:00:00,24.453562539110116,58.11980236709186,0.0,1.284
2025-09-01 21:00:00,24.010345801562043,54.40673025108305,0.0,1.361
2025-09-01 22:00:00,23.582670515316018,52.22220491279295,0.0,1.39
2025-09-01 23:00:00,23.975342850094947,49.70002012890663,20.93539799439671,1.499
2025-09-02 00:00:00,23.101877528600134,52.618623507880955,230.0919906405116,1.339
2025-09-02 01:00:00,23.43835588041733,49.829560827989354,437.17337335071977,1.447
2025-09-02 02:00:00,22.249777919000056,50.02091204988819,627.8987579885539,1.342
2025-09-02 03:00:00,22.059625749447793,55.44661651127939,789.1153020598606,1.182
2025-09-02 04:00:00,21.79328166826507,48.73694693117343,909.7051576932183,1.338
2025-09-02 05:00:00,21.104037991759604,50.58982995880005,981.3521829102006,1.237
2025-09-02 06:00:00,21.241537903667286,52.16188181265243,999.1154410880124,1.208
2025-09-02 07:00:00,21.615497858630473,50.92748363937065,961.769938828741,1.267
2025-09-02 08:00:00,20.588477736176056,53.47235153944432,871.8911042014612,1.128
2025-09-02 09:00:00,20.576740096184082,53.68190858716908,735.6771795516031,1.122
2025-09-02 10:00:00,19.432321727895967,52.85442628709338,562.5217770605341,1.064
2025-09-02 11:00:00,19.364168395307825,51.2718542483822,364.3660745651839,1.095
2025-09-02 12:00:00,18.799720484734877,57.49769802650439,154.87532564041572,0.922
2025-09-02 13:00:00,19.646031955709987,58.504844438065604,0.0,0.949
2025-09-02 14:00:00,19.065127860586212,57.405878513659886,0.0,0.94
2025-09-02 15:00:00,20.752554427687183,52.634011724970435,0.0,1.16
2025-09-02 16:00:00,19.508261660582406,55.40995843853819,0.0,1.011
2025-09-02 17:00:00,18.678676225723873,56.986030702927025,0.0,0.926
2025-09-02 18:00:00,19.604500209478687,58.297643736662366,0.0,0.951
2025-09-02 19:00:00,18.7654646394037,61.40299044311429,0.0,0.836
2025-09-02 20:00:00,19.408965106210616,66.44443944297792,0.0,0.756
2025-09-02 21:00:00,19.266761322904866,65.27380771439005,0.0,0.776
2025-09-02 22:00:00,19.20387200007383,62.49181510559667,0.0,0.835
2025-09-02 23:00:00,19.027724216565954,62.384929292841406,50.39061847073279,0.828
2025-09-03 00:00:00,19.54289308856557,68.57256438650906,260.141389433285,0.714
2025-09-03 01:00:00,19.607150377397605,67.91577910010243,465.7446777516292,0.732
2025-09-03 02:00:00,19.927669522408383,65.4399819759295,653.021627933263,0.804
2025-09-03 03:00:00,20.337146904206584,68.87185957327817,809.0572091174467,0.743
2025-09-03 04:00:00,20.29708479840928,69.95977913595681,923.0908640417223,0.715
2025-09-03 05:00:00,20.851504257987372,74.33403387566788,987.25858076505,0.633
2025-09-03 06:00:00,21.918371742298056,67.7280015618768,997.1352122474891,0.849
2025-09-03 07:00:00,22.366783918662932,71.23546004022286,952.039644234071,0.778
2025-09-03 08:00:00,21.79812487362303,68.56156098995034,855.0817663936053,0.821
2025-09-03 09:00:00,22.249861783846306,71.26017823560703,712.9480074792672,0.772
2025-09-03 10:00:00,23.19011596867007,74.06818965920027,535.4402244785394,0.737
2025-09-03 11:00:00,22.049290017080327,72.54476147360512,334.7997449720584,0.728
